$11GGA,193425.00,4433.9178973,N,12316.4342870,W,4,06,2.2,48.691,M,,,0.60,0244*1A
$22GGA,193430.00,4433.9188613,N,12316.4331436,W,4,08,1.5,48.480,M,,,0.62,0244*18
$33GGA,193431.00,4433.9183664,N,12316.4339077,W,4,05,2.3,48.758,M,,,0.57,0244*13
$11GGA,193426.00,4433.9178944,N,12316.4342853,W,4,06,2.2,48.698,M,,,0.62,0244*17
$22GGA,193431.00,4433.9188584,N,12316.4331448,W,4,08,1.5,48.469,M,,,0.55,0244*1E
$33GGA,193432.00,4433.9183701,N,12316.4339078,W,4,05,2.3,48.761,M,,,0.55,0244*15
$11GGA,193427.00,4433.9178946,N,12316.4342850,W,4,06,2.2,48.698,M,,,0.62,0244*17
$22GGA,193432.00,4433.9188727,N,12316.4331425,W,4,08,1.5,48.462,M,,,0.61,0244*11
$33GGA,193433.00,4433.9183702,N,12316.4339063,W,4,05,2.3,48.757,M,,,0.45,0244*19
$11GGA,193428.00,4433.9178978,N,12316.4342946,W,4,06,2.2,48.690,M,,,0.57,0244*1D
$22GGA,193433.00,4433.9188696,N,12316.4331474,W,4,08,1.5,48.448,M,,,0.57,0244*12
$33GGA,193434.00,4433.9183693,N,12316.4339106,W,4,05,2.3,48.741,M,,,0.63,0244*16
$11GGA,193429.00,4433.9178971,N,12316.4342930,W,4,06,2.2,48.679,M,,,0.60,0244*17
$22GGA,193434.00,4433.9188668,N,12316.4331505,W,4,08,1.5,48.437,M,,,0.34,0244*1E
$33GGA,193435.00,4433.9183658,N,12316.4339085,W,4,05,2.3,48.758,M,,,0.55,0244*17
$11GGA,193430.00,4433.9179002,N,12316.4342964,W,4,06,2.2,48.683,M,,,0.62,0244*15
$22GGA,193435.00,4433.9188607,N,12316.4331603,W,4,08,1.5,48.437,M,,,0.56,0244*17
$33GGA,193436.00,4433.9183659,N,12316.4339116,W,4,05,2.3,48.743,M,,,0.61,0244*13
$11GGA,193431.00,4433.9178955,N,12316.4342886,W,4,06,2.2,48.690,M,,,0.56,0244*16
$22GGA,193436.00,4433.9188673,N,12316.4331583,W,4,08,1.5,48.404,M,,,0.62,0244*1B
$33GGA,193437.00,4433.9183671,N,12316.4339138,W,4,05,2.3,48.737,M,,,0.61,0244*17
$11GGA,193432.00,4433.9179029,N,12316.4342772,W,4,06,2.2,48.722,M,,,0.58,0244*14
$22GGA,193437.00,4433.9188867,N,12316.4331541,W,4,08,1.5,48.392,M,,,0.62,0244*17
$33GGA,193438.00,4433.9183684,N,12316.4339107,W,4,05,2.3,48.740,M,,,0.54,0244*18
$11GGA,193433.00,4433.9179018,N,12316.4342704,W,4,06,2.2,48.724,M,,,0.47,0244*1E
$22GGA,193438.00,4433.9188965,N,12316.4331510,W,4,08,1.5,48.387,M,,,0.55,0244*1F
$33GGA,193439.00,4433.9183649,N,12316.4339107,W,4,05,2.3,48.739,M,,,0.61,0244*10
$11GGA,193434.00,4433.9179038,N,12316.4342743,W,4,06,2.2,48.712,M,,,0.66,0244*1E
$22GGA,193439.00,4433.9188886,N,12316.4331481,W,4,08,1.5,48.388,M,,,0.64,0244*16
$33GGA,193440.00,4433.9183618,N,12316.4339110,W,4,05,2.3,48.730,M,,,0.67,0244*13
$11GGA,193435.00,4433.9178990,N,12316.4342796,W,4,06,2.2,48.709,M,,,0.64,0244*15
$22GGA,193440.00,4433.9189079,N,12316.4331331,W,4,08,1.5,48.386,M,,,0.68,0244*1F
$33GGA,193441.00,4433.9183585,N,12316.4339114,W,4,05,2.3,48.737,M,,,0.53,0244*11
$11GGA,193436.00,4433.9178975,N,12316.4342829,W,4,06,2.2,48.690,M,,,0.64,0244*17
$22GGA,193441.00,4433.9188855,N,12316.4331658,W,4,08,1.5,48.385,M,,,0.60,0244*18
$33GGA,193442.00,4433.9183593,N,12316.4339125,W,4,05,2.3,48.729,M,,,0.63,0244*1B
$11GGA,193437.00,4433.9178996,N,12316.4342948,W,4,06,2.2,48.667,M,,,0.64,0244*15
$22GGA,193442.00,4433.9188958,N,12316.4331553,W,4,08,1.5,48.380,M,,,0.58,0244*11
$33GGA,193443.00,4433.9183598,N,12316.4339129,W,4,05,2.3,48.733,M,,,0.50,0244*16
$11GGA,193438.00,4433.9179007,N,12316.4342881,W,4,06,2.1,48.675,M,,,0.59,0244*10
$22GGA,193443.00,4433.9188934,N,12316.4331430,W,4,09,1.4,48.383,M,,,0.56,0244*13
$33GGA,193444.00,4433.9183599,N,12316.4339145,W,4,05,2.3,48.730,M,,,0.59,0244*10
$11GGA,193439.00,4433.9179009,N,12316.4342775,W,4,06,2.1,48.689,M,,,0.64,0244*16
$22GGA,193444.00,4433.9188760,N,12316.4331427,W,4,09,1.4,48.390,M,,,0.64,0244*1E
$33GGA,193445.00,4433.9183592,N,12316.4339180,W,4,05,2.3,48.716,M,,,0.61,0244*1C
$11GGA,193440.00,4433.9179024,N,12316.4342701,W,4,06,2.1,48.702,M,,,0.58,0244*19
$22GGA,193445.00,4433.9188759,N,12316.4331331,W,4,09,1.4,48.395,M,,,0.62,0244*16
$33GGA,193446.00,4433.9183624,N,12316.4339123,W,4,05,2.3,48.728,M,,,0.59,0244*1E
$11GGA,193441.00,4433.9179000,N,12316.4342712,W,4,06,2.1,48.711,M,,,0.60,0244*15
$22GGA,193446.00,4433.9188638,N,12316.4331605,W,4,09,1.4,48.405,M,,,0.56,0244*18
$33GGA,193447.00,4433.9183608,N,12316.4339132,W,4,05,2.3,48.727,M,,,0.63,0244*17
$11GGA,193442.00,4433.9179038,N,12316.4342782,W,4,06,2.1,48.695,M,,,0.62,0244*1B
$22GGA,193447.00,4433.9188635,N,12316.4331793,W,4,09,1.4,48.423,M,,,0.62,0244*19
$33GGA,193448.00,4433.9183615,N,12316.4339103,W,4,05,2.3,48.746,M,,,0.52,0244*13
$11GGA,193443.00,4433.9179058,N,12316.4342787,W,4,06,2.1,48.696,M,,,0.53,0244*18
$22GGA,193448.00,4433.9188687,N,12316.4331954,W,4,09,1.4,48.423,M,,,0.57,0244*1C
$33GGA,193449.00,4433.9183625,N,12316.4339141,W,4,05,2.3,48.734,M,,,0.63,0244*10
$11GGA,193444.00,4433.9179051,N,12316.4342803,W,4,06,2.1,48.692,M,,,0.64,0244*15
$22GGA,193449.00,4433.9187192,N,12316.4332673,W,4,09,1.4,48.441,M,,,0.62,0244*1A
$33GGA,193450.00,4433.9183654,N,12316.4339122,W,4,05,2.3,48.749,M,,,0.59,0244*18
$11GGA,193445.00,4433.9179054,N,12316.4342701,W,4,06,2.1,48.709,M,,,0.64,0244*1F
$22GGA,193450.00,4433.9185173,N,12316.4334292,W,4,09,1.4,48.467,M,,,0.60,0244*14
$33GGA,193451.00,4433.9183658,N,12316.4339156,W,4,05,2.3,48.739,M,,,0.58,0244*10
$11GGA,193446.00,4433.9179079,N,12316.4342704,W,4,06,2.1,48.713,M,,,0.56,0244*1C
$22GGA,193451.00,4433.9183918,N,12316.4334156,W,4,08,1.5,48.448,M,,,0.59,0244*1A
$33GGA,193452.00,4433.9183706,N,12316.4339087,W,4,05,2.3,48.766,M,,,0.61,0244*14
$11GGA,193447.00,4433.9179028,N,12316.4342675,W,4,06,2.1,48.718,M,,,0.60,0244*10
$22GGA,193452.00,4433.9182984,N,12316.4335823,W,4,07,1.6,48.465,M,,,0.48,0244*14
$33GGA,193453.00,4433.9183655,N,12316.4339113,W,4,05,2.3,48.755,M,,,0.48,0244*15
$11GGA,193448.00,4433.9178995,N,12316.4342759,W,4,06,2.1,48.714,M,,,0.55,0244*14
$22GGA,193453.00,4433.9182095,N,12316.4337140,W,4,07,1.6,48.590,M,,,0.57,0244*17
$33GGA,193454.00,4433.9183656,N,12316.4339122,W,4,05,2.3,48.767,M,,,0.61,0244*19
$11GGA,193449.00,4433.9178982,N,12316.4342801,W,4,06,2.1,48.697,M,,,0.62,0244*1F
$22GGA,193454.00,4433.9181348,N,12316.4338579,W,4,07,1.6,48.687,M,,,0.62,0244*12
$33GGA,193455.00,4433.9183660,N,12316.4339090,W,4,05,2.3,48.772,M,,,0.59,0244*1A
$11GGA,193450.00,4433.9178999,N,12316.4342770,W,4,06,2.1,48.715,M,,,0.56,0244*18
$22GGA,193455.00,4433.9181228,N,12316.4339677,W,4,07,1.6,48.775,M,,,0.60,0244*16
$33GGA,193456.00,4433.9183670,N,12316.4339113,W,4,05,2.3,48.767,M,,,0.55,0244*1A
$11GGA,193451.00,4433.9179003,N,12316.4342680,W,4,06,2.1,48.728,M,,,0.58,0244*1C
$22GGA,193456.00,4433.9181364,N,12316.4340262,W,4,07,1.6,48.738,M,,,0.55,0244*1D
$33GGA,193457.00,4433.9183646,N,12316.4339178,W,4,05,2.3,48.752,M,,,0.61,0244*12
$11GGA,193452.00,4433.9179065,N,12316.4342546,W,4,06,2.1,48.758,M,,,0.64,0244*1E
$22GGA,193457.00,4433.9181309,N,12316.4340793,W,4,07,1.6,48.686,M,,,0.56,0244*1B
$33GGA,193458.00,4433.9183686,N,12316.4339229,W,4,05,2.3,48.763,M,,,0.48,0244*1F
$11GGA,193453.00,4433.9178981,N,12316.4342619,W,4,06,2.1,48.735,M,,,0.51,0244*19
$22GGA,193458.00,4433.9181315,N,12316.4340891,W,4,07,1.6,48.675,M,,,0.57,0244*19
$33GGA,193459.00,4433.9183691,N,12316.4339207,W,4,05,2.3,48.774,M,,,0.59,0244*12
$11GGA,193454.00,4433.9178988,N,12316.4342633,W,4,06,2.1,48.737,M,,,0.64,0244*1B
$22GGA,193459.00,4433.9181236,N,12316.4340941,W,4,07,1.6,48.680,M,,,0.60,0244*1A
$33GGA,193500.00,4433.9183681,N,12316.4339174,W,4,05,2.3,48.766,M,,,0.59,0244*1A
$11GGA,193455.00,4433.9179010,N,12316.4342618,W,4,06,2.1,48.747,M,,,0.62,0244*1B
$22GGA,193500.00,4433.9181183,N,12316.4340855,W,4,07,1.6,48.666,M,,,0.59,0244*1C
$33GGA,193501.00,4433.9183694,N,12316.4339163,W,4,05,2.3,48.777,M,,,0.57,0244*17
$11GGA,193456.00,4433.9179001,N,12316.4342585,W,4,06,2.1,48.741,M,,,0.52,0244*1A
$22GGA,193501.00,4433.9181227,N,12316.4340893,W,4,07,1.6,48.679,M,,,0.57,0244*1A
$33GGA,193502.00,4433.9183636,N,12316.4339143,W,4,05,2.3,48.781,M,,,0.61,0244*12
$11GGA,193457.00,4433.9178973,N,12316.4342542,W,4,06,2.1,48.740,M,,,0.64,0244*19
$22GGA,193502.00,4433.9181277,N,12316.4340855,W,4,07,1.6,48.683,M,,,0.62,0244*15
$33GGA,193503.00,4433.9183691,N,12316.4339119,W,4,05,2.3,48.785,M,,,0.55,0244*12
$11GGA,193458.00,4433.9178992,N,12316.4342467,W,4,06,2.1,48.753,M,,,0.57,0244*1D
$22GGA,193503.00,4433.9181326,N,12316.4340830,W,4,07,1.6,48.697,M,,,0.57,0244*11
$33GGA,193504.00,4433.9183653,N,12316.4339160,W,4,05,2.3,48.776,M,,,0.62,0244*1D
$11GGA,193459.00,4433.9179032,N,12316.4342547,W,4,06,2.1,48.747,M,,,0.64,0244*18
$22GGA,193504.00,4433.9181277,N,12316.4340990,W,4,07,1.6,48.664,M,,,0.66,0244*16
$33GGA,193505.00,4433.9183635,N,12316.4339175,W,4,05,2.3,48.769,M,,,0.63,0244*17
$11GGA,193500.00,4433.9179058,N,12316.4342476,W,4,06,2.1,48.749,M,,,0.62,0244*12
$22GGA,193505.00,4433.9181257,N,12316.4340953,W,4,07,1.6,48.664,M,,,0.64,0244*18
$33GGA,193506.00,4433.9183638,N,12316.4339163,W,4,05,2.3,48.767,M,,,0.61,0244*12
$11GGA,193501.00,4433.9179070,N,12316.4342536,W,4,06,2.1,48.748,M,,,0.59,0244*15
$22GGA,193506.00,4433.9181309,N,12316.4340920,W,4,07,1.6,48.665,M,,,0.62,0244*12
$33GGA,193507.00,4433.9183610,N,12316.4339178,W,4,05,2.3,48.761,M,,,0.63,0244*17
$11GGA,193502.00,4433.9179026,N,12316.4342475,W,4,06,2.1,48.764,M,,,0.64,0244*13
$22GGA,193507.00,4433.9181273,N,12316.4340983,W,4,07,1.6,48.657,M,,,0.60,0244*15
$33GGA,193508.00,4433.9183639,N,12316.4339192,W,4,05,2.3,48.762,M,,,0.54,0244*10
$11GGA,193503.00,4433.9179080,N,12316.4342439,W,4,06,2.1,48.768,M,,,0.35,0244*1E
$22GGA,193508.00,4433.9181315,N,12316.4340964,W,4,07,1.6,48.660,M,,,0.55,0244*10
$33GGA,193509.00,4433.9183680,N,12316.4339163,W,4,05,2.3,48.765,M,,,0.61,0244*1C
$11GGA,193504.00,4433.9179017,N,12316.4342495,W,4,06,2.1,48.751,M,,,0.60,0244*1B
$22GGA,193509.00,4433.9181350,N,12316.4340943,W,4,07,1.6,48.657,M,,,0.66,0244*11
