0
	173816.00	103733.534204	2279805.96506	4	48.366
	173817.00	103733.532538	2279805.965	4	48.359
	173818.00	103733.529405	2279805.9645	4	48.374
	173819.00	103733.534195	2279805.96532	4	48.370
	173820.00	103733.529952	2279805.96478	4	48.363
	173821.00	103733.527609	2279805.96284	4	48.364
	173822.00	103733.529216	2279805.96462	4	48.362
	173823.00	103733.536466	2279805.96394	4	48.362
	173824.00	103733.527554	2279805.96443	4	48.364
	173825.00	103733.528042	2279805.96644	4	48.365
	173826.00	103733.525311	2279805.96502	4	48.363
	173827.00	103733.527315	2279805.96601	4	48.362
	173828.00	103733.523378	2279805.96734	4	48.365
	173829.00	103733.527202	2279805.96389	4	48.359
	173830.00	103733.52876	2279805.96169	4	48.363
	173831.00	103733.52704	2279805.96322	4	48.362
	173832.00	103733.530783	2279805.96216	4	48.355
	173833.00	103733.524318	2279805.96154	4	48.354
	173834.00	103733.528747	2279805.96209	4	48.363
	173835.00	103733.525207	2279805.96263	4	48.358
	173836.00	103733.517217	2279805.96328	4	48.357
	173837.00	103733.515772	2279805.96217	4	48.358
	173838.00	103733.513113	2279805.96407	4	48.352
	173839.00	103733.509827	2279805.96263	4	48.343
	173840.00	103733.509443	2279805.96302	4	48.345
	173841.00	103733.506852	2279805.96293	4	48.343
	173842.00	103733.507597	2279805.96282	4	48.338
	173843.00	103733.51221	2279805.96338	4	48.342
	173844.00	103733.506617	2279805.96438	4	48.343
	173845.00	103733.506215	2279805.96529	4	48.357
	173846.00	103733.507638	2279805.96163	4	48.350
	173847.00	103733.504496	2279805.96139	4	48.353
	173848.00	103733.507507	2279805.96003	4	48.351
	173849.00	103733.509548	2279805.95997	4	48.356
	173850.00	103733.505864	2279805.95932	4	48.357
	173851.00	103733.510031	2279805.95668	4	48.361
	173852.00	103733.509846	2279805.95667	4	48.360
	173853.00	103733.512198	2279805.95834	4	48.354
	173854.00	103733.520771	2279805.95691	4	48.361
	173855.00	103733.512564	2279805.95849	4	48.353
	173856.00	103733.506623	2279805.95881	4	48.351
	173857.00	103733.501417	2279805.9593	4	48.347
	173858.00	103733.509408	2279805.95864	4	48.350
	173859.00	103733.517385	2279805.95839	4	48.351
	173900.00	103733.511981	2279805.95926	4	48.360
	173901.00	103733.511584	2279805.96004	4	48.360
	173902.00	103733.514157	2279805.96066	4	48.356
