$33GGA,173816.00,4433.9701374,N,12316.3516639,W,4,08,1.3,48.366,M,,,0.39,0244*13
$22GGA,173820.00,4433.9702602,N,12316.3519975,W,4,08,1.3,48.363,M,,,0.75,0244*14
$11GGA,173821.00,4433.9703815,N,12316.3523327,W,4,06,2.0,48.320,M,,,0.72,0244*16
$33GGA,173817.00,4433.9701365,N,12316.3516639,W,4,08,1.3,48.359,M,,,0.72,0244*11
$22GGA,173821.00,4433.9702578,N,12316.3519970,W,4,08,1.3,48.361,M,,,0.56,0244*1D
$11GGA,173822.00,4433.9703811,N,12316.3523317,W,4,06,2.0,48.324,M,,,0.61,0244*14
$33GGA,173818.00,4433.9701348,N,12316.3516642,W,4,08,1.3,48.374,M,,,0.48,0244*1B
$22GGA,173822.00,4433.9702588,N,12316.3519947,W,4,08,1.3,48.363,M,,,0.36,0244*11
$11GGA,173823.00,4433.9703857,N,12316.3523317,W,4,06,2.0,48.324,M,,,0.40,0244*14
$33GGA,173819.00,4433.9701374,N,12316.3516637,W,4,08,1.3,48.370,M,,,0.73,0244*1B
$22GGA,173823.00,4433.9702601,N,12316.3519948,W,4,08,1.3,48.366,M,,,0.75,0244*1F
$11GGA,173824.00,4433.9703792,N,12316.3523311,W,4,06,2.0,48.323,M,,,0.75,0244*12
$33GGA,173820.00,4433.9701351,N,12316.3516640,W,4,08,1.3,48.363,M,,,0.57,0244*12
$22GGA,173824.00,4433.9702564,N,12316.3519920,W,4,08,1.3,48.364,M,,,0.55,0244*16
$11GGA,173825.00,4433.9703830,N,12316.3523292,W,4,06,2.0,48.336,M,,,0.59,0244*14
$33GGA,173821.00,4433.9701338,N,12316.3516654,W,4,08,1.3,48.364,M,,,0.43,0244*1B
$22GGA,173825.00,4433.9702563,N,12316.3519909,W,4,08,1.3,48.373,M,,,0.63,0244*18
$11GGA,173826.00,4433.9703817,N,12316.3523314,W,4,06,2.0,48.334,M,,,0.44,0244*13
$33GGA,173822.00,4433.9701347,N,12316.3516641,W,4,08,1.3,48.362,M,,,0.72,0244*10
$22GGA,173826.00,4433.9702557,N,12316.3519911,W,4,08,1.3,48.371,M,,,0.42,0244*14
$11GGA,173827.00,4433.9703857,N,12316.3523307,W,4,06,2.0,48.342,M,,,0.75,0244*17
$33GGA,173823.00,4433.9701386,N,12316.3516648,W,4,08,1.3,48.362,M,,,0.66,0244*10
$22GGA,173827.00,4433.9702580,N,12316.3519897,W,4,08,1.3,48.381,M,,,0.73,0244*1D
$11GGA,173828.00,4433.9703835,N,12316.3523306,W,4,06,2.0,48.348,M,,,0.42,0244*13
$33GGA,173824.00,4433.9701338,N,12316.3516642,W,4,08,1.3,48.364,M,,,0.44,0244*1E
$22GGA,173828.00,4433.9702564,N,12316.3519895,W,4,08,1.3,48.380,M,,,0.49,0244*12
$11GGA,173829.00,4433.9703843,N,12316.3523333,W,4,06,2.0,48.344,M,,,0.75,0244*1D
