$11GGA,,,,,,0,,,,,,,,*71
$22GGA,165248.00,4434.0141279,N,12316.7288475,W,2,06,1.4,59.750,M,,,0.70,0244*18
$33GGA,165249.00,4434.0132065,N,12316.7284453,W,2,06,1.4,54.536,M,,,1.66,0244*13
$11GGA,,,,,,0,,,,,,,,*71
$22GGA,165249.00,4434.0140996,N,12316.7288501,W,2,06,1.4,59.826,M,,,0.09,0244*10
$11GGA,,,,,,0,,,,,,,,*71
$22GGA,165250.00,4434.0140701,N,12316.7288558,W,2,06,1.4,59.912,M,,,0.29,0244*10
$33GGA,165250.00,4434.0132006,N,12316.7284584,W,2,05,2.3,54.434,M,,,0.28,0244*1A
$11GGA,,,,,,0,,,,,,,,*71
$22GGA,165251.00,4434.0140441,N,12316.7288590,W,2,06,1.4,59.976,M,,,0.64,0244*19
$33GGA,165251.00,4434.0131916,N,12316.7284626,W,2,05,2.3,54.424,M,,,0.59,0244*1C
$11GGA,,,,,,0,,,,,,,,*71
$22GGA,165252.00,4434.0140171,N,12316.7288660,W,2,06,1.4,60.050,M,,,0.07,0244*12
$33GGA,165252.00,4434.0131765,N,12316.7284741,W,2,05,2.3,54.407,M,,,0.05,0244*1D
$11GGA,,,,,,0,,,,,,,,*71
$22GGA,165253.00,4434.0139728,N,12316.7288736,W,2,06,1.4,60.132,M,,,0.26,0244*13
$33GGA,165253.00,4434.0131668,N,12316.7284765,W,2,05,2.3,54.409,M,,,0.31,0244*1F
$11GGA,,,,,,0,,,,,,,,*71
$22GGA,165254.00,4434.0139412,N,12316.7288851,W,2,06,1.4,60.236,M,,,0.48,0244*1F
$33GGA,165254.00,4434.0131606,N,12316.7284776,W,2,05,2.3,54.389,M,,,0.59,0244*13
$11GGA,,,,,,0,,,,,,,,*71
$22GGA,165255.00,4434.0138954,N,12316.7288980,W,2,06,1.4,60.331,M,,,0.04,0244*13
$33GGA,165255.00,4434.0131482,N,12316.7284809,W,2,05,2.3,54.410,M,,,0.17,0244*16
$11GGA,,,,,,0,,,,,,,,*71
$22GGA,165256.00,4434.0138581,N,12316.7289086,W,2,06,1.4,60.403,M,,,0.48,0244*14
$33GGA,165256.00,4434.0131340,N,12316.7284818,W,2,05,2.3,54.441,M,,,0.44,0244*1E
$11GGA,,,,,,0,,,,,,,,*71
$22GGA,165257.00,4434.0138068,N,12316.7289267,W,2,06,1.4,60.529,M,,,0.17,0244*19
$33GGA,165257.00,4434.0131314,N,12316.7284837,W,2,05,2.3,54.418,M,,,1.44,0244*1E
$11GGA,,,,,,0,,,,,,,,*71
$22GGA,165258.00,4434.0137631,N,12316.7289435,W,2,06,1.4,60.641,M,,,0.58,0244*14
$33GGA,165258.00,4434.0131213,N,12316.7284842,W,2,05,2.3,54.426,M,,,0.11,0244*19
$11GGA,,,,,,0,,,,,,,,*71
$22GGA,165259.00,4434.0137209,N,12316.7289607,W,2,06,1.4,60.741,M,,,0.15,0244*11
$33GGA,165259.00,4434.0131089,N,12316.7284857,W,2,05,2.3,54.441,M,,,0.50,0244*19
$11GGA,,,,,,0,,,,,,,,*71
$22GGA,165300.00,4434.0136809,N,12316.7289768,W,2,06,1.4,60.843,M,,,0.54,0244*17
$33GGA,165300.00,4434.0131002,N,12316.7284856,W,2,05,2.3,54.468,M,,,1.50,0244*1C
$11GGA,,,,,,0,,,,,,,,*71
$22GGA,165301.00,4434.0136390,N,12316.7289954,W,2,06,1.4,60.959,M,,,0.14,0244*12
$33GGA,165301.00,4434.0130802,N,12316.7284895,W,2,05,2.3,54.525,M,,,0.28,0244*1D
$11GGA,,,,,,0,,,,,,,,*71
$22GGA,165302.00,4434.0135917,N,12316.7290150,W,2,06,1.4,61.079,M,,,0.50,0244*19
$33GGA,165302.00,4434.0130627,N,12316.7284952,W,2,05,2.3,54.548,M,,,0.68,0244*12
$11GGA,,,,,,0,,,,,,,,*71
$22GGA,165303.00,4434.0135513,N,12316.7290385,W,2,06,1.4,61.241,M,,,0.07,0244*11
$33GGA,165303.00,4434.0130942,N,12316.7284671,W,2,06,1.4,54.344,M,,,0.15,0244*16
$11GGA,,,,,,0,,,,,,,,*71
$22GGA,165304.00,4434.0135060,N,12316.7290571,W,2,06,1.4,61.381,M,,,0.36,0244*15
$33GGA,165304.00,4434.0130842,N,12316.7284653,W,2,06,1.4,54.332,M,,,0.46,0244*17
$11GGA,,,,,,0,,,,,,,,*71
$22GGA,165305.00,4434.0134559,N,12316.7290681,W,2,06,1.4,61.452,M,,,0.57,0244*18
$33GGA,165305.00,4434.0130851,N,12316.7284554,W,2,06,1.4,54.297,M,,,0.16,0244*1B
$11GGA,,,,,,0,,,,,,,,*71
$22GGA,165306.00,4434.0134272,N,12316.7290861,W,2,06,1.4,61.540,M,,,0.01,0244*14
$33GGA,165306.00,4434.0130855,N,12316.7284517,W,2,06,1.4,54.269,M,,,0.47,0244*1E
$11GGA,,,,,,0,,,,,,,,*71
$22GGA,165307.00,4434.0133819,N,12316.7290992,W,2,06,1.4,61.613,M,,,0.24,0244*1A
$33GGA,165307.00,4434.0130873,N,12316.7284478,W,2,06,1.4,54.248,M,,,1.47,0244*11
$11GGA,,,,,,0,,,,,,,,*71
$22GGA,165308.00,4434.0133383,N,12316.7291120,W,2,06,1.4,61.691,M,,,0.54,0244*10
$33GGA,165308.00,4434.0130903,N,12316.7284378,W,2,06,1.4,54.223,M,,,0.12,0244*13
$11GGA,,,,,,0,,,,,,,,*71
$22GGA,165309.00,4434.0132991,N,12316.7291229,W,2,06,1.4,61.757,M,,,0.07,0244*1E
$33GGA,165309.00,4434.0130878,N,12316.7284296,W,2,06,1.4,54.205,M,,,0.55,0244*19
$11GGA,,,,,,0,,,,,,,,*71
$22GGA,165310.00,4434.0132576,N,12316.7291386,W,2,06,1.4,61.824,M,,,0.42,0244*1D
$33GGA,165310.00,4434.0130876,N,12316.7284189,W,2,06,1.4,54.196,M,,,1.55,0244*1A
$11GGA,,,,,,0,,,,,,,,*71
$22GGA,165311.00,4434.0132234,N,12316.7291541,W,2,06,1.4,61.897,M,,,0.05,0244*1B
$33GGA,165311.00,4434.0130893,N,12316.7284180,W,2,06,1.4,54.154,M,,,0.32,0244*17
$11GGA,,,,,,0,,,,,,,,*71
$22GGA,165312.00,4434.0131900,N,12316.7291663,W,2,06,1.4,61.958,M,,,0.44,0244*13
$33GGA,165312.00,4434.0130946,N,12316.7284051,W,2,06,1.4,54.147,M,,,0.55,0244*13
$11GGA,,,,,,0,,,,,,,,*71
$22GGA,165313.00,4434.0131629,N,12316.7291765,W,2,06,1.4,61.992,M,,,0.07,0244*10
$33GGA,165313.00,4434.0130944,N,12316.7283977,W,2,06,1.4,54.157,M,,,0.21,0244*18
$11GGA,,,,,,0,,,,,,,,*71
$22GGA,165314.00,4434.0131164,N,12316.7291868,W,2,06,1.4,62.034,M,,,0.40,0244*1E
$33GGA,165314.00,4434.0130958,N,12316.7283888,W,2,06,1.4,54.165,M,,,0.24,0244*17
$11GGA,,,,,,0,,,,,,,,*71
$22GGA,165315.00,4434.0130929,N,12316.7291925,W,2,06,1.4,62.107,M,,,0.08,0244*1A
$33GGA,165315.00,4434.0130625,N,12316.7284115,W,2,05,2.3,54.300,M,,,0.58,0244*14
$11GGA,,,,,,0,,,,,,,,*71
$22GGA,165316.00,4434.0130827,N,12316.7291941,W,2,06,1.4,62.082,M,,,0.48,0244*1C
$33GGA,165316.00,4434.0130328,N,12316.7284323,W,2,05,2.3,54.421,M,,,0.07,0244*16
$11GGA,,,,,,0,,,,,,,,*71
$22GGA,165317.00,4434.0130617,N,12316.7292038,W,2,05,2.3,62.110,M,,,0.19,0244*1D
$33GGA,165317.00,4434.0130078,N,12316.7284470,W,2,05,2.3,54.557,M,,,0.46,0244*15
$11GGA,,,,,,0,,,,,,,,*71
$22GGA,165318.00,4434.0130473,N,12316.7292145,W,2,05,2.3,62.097,M,,,0.38,0244*14
$33GGA,165318.00,4434.0129874,N,12316.7284590,W,2,05,2.3,54.659,M,,,1.46,0244*15
$11GGA,,,,,,0,,,,,,,,*71
$22GGA,165319.00,4434.0130315,N,12316.7292218,W,2,05,2.3,62.129,M,,,0.72,0244*13
$33GGA,165319.00,4434.0129621,N,12316.7284713,W,2,05,2.3,54.784,M,,,0.25,0244*16
$11GGA,,,,,,0,,,,,,,,*71
$22GGA,165320.00,4434.0128786,N,12316.7298493,W,1,09,1.5,62.697,M,,,,*00
$33GGA,165320.00,4434.0129343,N,12316.7284829,W,2,05,2.3,54.895,M,,,0.11,0244*13
$11GGA,,,,,,0,,,,,,,,*71
$22GGA,165321.00,4434.0126233,N,12316.7297481,W,2,05,1.5,63.384,M,,,0.56,0244*1E
$33GGA,165321.00,4434.0129471,N,12316.7284685,W,2,06,1.4,54.823,M,,,0.55,0244*16
$11GGA,,,,,,0,,,,,,,,*71
$22GGA,165322.00,4434.0126200,N,12316.7297295,W,2,06,1.4,63.358,M,,,0.15,0244*1A
$33GGA,165322.00,4434.0129467,N,12316.7284595,W,2,06,1.4,54.807,M,,,0.23,0244*17
$11GGA,,,,,,0,,,,,,,,*71
$22GGA,165323.00,4434.0126239,N,12316.7297217,W,2,06,1.4,63.355,M,,,0.54,0244*13
$33GGA,165323.00,4434.0129533,N,12316.7284489,W,2,06,1.4,54.789,M,,,0.59,0244*1E
$11GGA,,,,,,0,,,,,,,,*71
$22GGA,165324.00,4434.0126274,N,12316.7297110,W,2,06,1.4,63.332,M,,,0.07,0244*1E
$33GGA,165324.00,4434.0129630,N,12316.7284325,W,2,06,1.4,54.744,M,,,1.59,0244*18
$11GGA,165321.00,4434.0147922,N,12316.7309519,W,1,08,1.6,59.150,M,,,,*04
$22GGA,165325.00,4434.0126118,N,12316.7296961,W,2,06,1.4,63.286,M,,,0.48,0244*1C
$33GGA,165325.00,4434.0129659,N,12316.7284248,W,2,06,1.4,54.735,M,,,0.20,0244*15
$11GGA,165322.00,4434.0148128,N,12316.7309583,W,1,08,1.6,59.107,M,,,,*0B
$22GGA,165326.00,4434.0126021,N,12316.7296751,W,2,06,1.4,63.233,M,,,0.21,0244*18
$33GGA,165326.00,4434.0129683,N,12316.7284147,W,2,06,1.4,54.720,M,,,0.59,0244*17
$11GGA,165323.00,4434.0148304,N,12316.7309613,W,1,08,1.6,59.038,M,,,,*01
$22GGA,165327.00,4434.0126106,N,12316.7296639,W,2,06,1.4,63.195,M,,,0.58,0244*13
$33GGA,165327.00,4434.0129746,N,12316.7284043,W,2,06,1.4,54.715,M,,,1.59,0244*1C
$11GGA,165324.00,4434.0148425,N,12316.7309675,W,1,08,1.6,59.001,M,,,,*08
$22GGA,165328.00,4434.0126013,N,12316.7296471,W,2,06,1.4,63.142,M,,,0.13,0244*12
$33GGA,165328.00,4434.0129735,N,12316.7283935,W,2,06,1.4,54.704,M,,,2.59,0244*1B
$11GGA,165325.00,4434.0148565,N,12316.7309706,W,1,08,1.6,58.929,M,,,,*0B
$22GGA,165329.00,4434.0125921,N,12316.7296284,W,2,06,1.4,63.116,M,,,0.17,0244*11
$33GGA,165329.00,4434.0129732,N,12316.7283912,W,2,06,1.4,54.656,M,,,3.59,0244*1F
$11GGA,165326.00,4434.0148668,N,12316.7309667,W,1,08,1.6,58.847,M,,,,*09
$22GGA,165330.00,4434.0125939,N,12316.7296099,W,2,06,1.4,63.090,M,,,0.51,0244*13
$33GGA,165330.00,4434.0129876,N,12316.7283771,W,2,06,1.4,54.533,M,,,4.59,0244*14
